Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
029780	KR7029780004	삼성카드	KOSPI		36100	2	-300	-0.82	36050	36500	36050	52530	1903817350	4182505965100	115858891	STK
036570	KR7036570000	엔씨소프트	KOSPI		189000	2	-2100	-1.1	190000	191200	188100	76151	14422210900	4149310158000	21954022	STK
021240	KR7021240007	코웨이	KOSPI		55200	2	-200	-0.36	54700	55700	53400	110219	6027051800	4073738968800	73799619	STK
064350	KR7064350002	현대로템	KOSPI		37300	2	-1200	-3.12	38100	38400	36800	2186288	81859977350	4071007528900	109142293	STK
128940	KR7128940004	한미약품	KOSPI		314500	3	0	0.0	310500	317500	310500	25313	7949501500	4029056669500	12810991	STK
180640	KR7180640005	한진칼	KOSPI		60200	2	-700	-1.15	59900	61700	59900	44618	2710417000	4019089195800	66762279	STK
307950	KR7307950006	현대오토에버	KOSPI		145000	2	-2100	-1.43	145600	147200	144500	54864	7979737400	3976477390000	27423982	STK
403870	KR7403870009	HPSP	KOSDAQ	벤처기업부	46700	2	-1450	-3.01	46750	47350	45850	1637221	75981590350	3873024524800	82934144	KSQ
005940	KR7005940002	NH투자증권	KOSPI		11610	1	70	0.61	11410	11750	11410	589875	6877217720	3850641342810	331665921	STK
271560	KR7271560005	오리온	KOSPI		96400	1	700	0.73	94700	97400	94500	284657	27434214400	3811283124800	39536132	STK
001040	KR7001040005	CJ	KOSPI		128600	2	-3500	-2.65	132100	135500	127900	203954	26583541700	3752161942800	29176998	STK
068760	KR7068760008	셀트리온제약	KOSDAQ	우량기업부	94600	2	-3400	-3.47	97000	97500	94500	166382	15883845900	3747391313600	39613016	KSQ
071050	KR7071050009	한국금융지주	KOSPI		66400	2	-800	-1.19	66400	67900	66000	58231	3898347000	3700205868800	55725992	STK
006260	KR7006260004	LS	KOSPI		114000	1	4400	4.01	110600	118000	110000	654461	74904315300	3670800000000	32200000	STK
011780	KR7011780004	금호석유	KOSPI		128300	2	-1700	-1.31	130000	130500	128000	65210	8387218100	3662667215700	28547679	STK
079550	KR7079550000	LIG넥스원	KOSPI		166300	2	-8000	-4.59	174400	176000	165300	302194	50949774300	3658600000000	22000000	STK
000720	KR7000720003	현대건설	KOSPI		32700	1	50	0.15	32300	33000	32200	335779	10980369650	3641333515500	111355765	STK
005385	KR7005381009	현대차우	KOSPI		148900	2	-2500	-1.65	148300	152000	148000	54072	8087992700	3590443419100	24113119	STK
010120	KR7010120004	LS ELECTRIC	KOSPI		118600	1	12600	11.89	106300	120000	105500	2164501	249839922200	3558000000000	30000000	STK
003410	KR7003410008	쌍용C&E	KOSPI		7000	3	0	0.0	7000	7010	7000	170498	1193576350	3490878776000	498696968	STK
016360	KR7016360000	삼성증권	KOSPI		38600	2	-400	-1.03	38600	39300	38500	169536	6576006650	3446980000000	89300000	STK
277810	KR7277810008	레인보우로보틱스	KOSDAQ	기술성장기업부	177100	2	-2300	-1.28	176100	181500	176000	226753	40797705900	3435714851800	19399858	KSQ
035250	KR7035250000	강원랜드	KOSPI		15540	1	140	0.91	15250	15650	15250	772988	11977471550	3324635370000	213940500	STK
039490	KR7039490008	키움증권	KOSPI		124400	1	2000	1.63	121300	128900	120900	90813	11424471200	3262602226400	26226706	STK
272210	KR7272210006	한화시스템	KOSPI		17190	2	-1250	-6.78	18240	18400	17170	2405739	42254033440	3247524296910	188919389	STK
018880	KR7018880005	한온시스템	KOSPI		5670	2	-90	-1.56	5690	5780	5650	806132	4585939330	3026646000000	533800000	STK
065350	KR7065350001	신성델타테크	KOSDAQ	우량기업부	108700	3	0	0.0	107700	109300	102700	424877	44925267500	2987505147600	27483948	KSQ
298040	KR7298040007	효성중공업	KOSPI		303000	2	-4000	-1.3	302000	325000	287000	99002	29623516000	2825338044000	9324548	STK
